,Campus,Building,Room,Capacity,Date,Day,SurveyPercentage,Count,LogDate,Module,NoStudents,WeekNo
142,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,56,2015-11-03 13:22:20,COMP20110,103,45/2015
143,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,53,2015-11-03 13:27:29,COMP20110,103,45/2015
144,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,57,2015-11-03 13:32:38,COMP20110,103,45/2015
145,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,58,2015-11-03 13:37:50,COMP20110,103,45/2015
146,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,55,2015-11-03 13:42:55,COMP20110,103,45/2015
147,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,57,2015-11-03 13:48:04,COMP20110,103,45/2015
148,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,22,2015-11-03 13:53:30,COMP20110,103,45/2015
149,Belfield,Computer Science,B-004,220,2015-11-03 13:00:00,Tue,0.5,38,2015-11-03 13:58:56,COMP20110,103,45/2015
150,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,6,2015-11-03 13:03:01,,,45/2015
151,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,6,2015-11-03 13:08:10,,,45/2015
152,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,10,2015-11-03 13:12:42,,,45/2015
153,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,11,2015-11-03 13:17:24,,,45/2015
154,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,12,2015-11-03 13:22:20,,,45/2015
155,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,12,2015-11-03 13:27:29,,,45/2015
156,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,14,2015-11-03 13:32:38,,,45/2015
157,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,15,2015-11-03 13:37:50,,,45/2015
158,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,16,2015-11-03 13:42:55,,,45/2015
159,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,19,2015-11-03 13:48:04,,,45/2015
160,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,29,2015-11-03 13:53:30,,,45/2015
161,Belfield,Computer Science,B-002,90,2015-11-03 13:00:00,Tue,0.0,21,2015-11-03 13:58:56,,,45/2015
162,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,12,2015-11-03 13:03:01,Career opportunities talks,N/A,45/2015
163,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,11,2015-11-03 13:08:10,Career opportunities talks,N/A,45/2015
164,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,9,2015-11-03 13:12:42,Career opportunities talks,N/A,45/2015
165,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,10,2015-11-03 13:17:24,Career opportunities talks,N/A,45/2015
166,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,10,2015-11-03 13:22:20,Career opportunities talks,N/A,45/2015
167,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,9,2015-11-03 13:27:29,Career opportunities talks,N/A,45/2015
168,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,9,2015-11-03 13:32:38,Career opportunities talks,N/A,45/2015
169,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,10,2015-11-03 13:37:50,Career opportunities talks,N/A,45/2015
170,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,13,2015-11-03 13:42:55,Career opportunities talks,N/A,45/2015
171,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,15,2015-11-03 13:48:04,Career opportunities talks,N/A,45/2015
172,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,12,2015-11-03 13:53:30,Career opportunities talks,N/A,45/2015
173,Belfield,Computer Science,B-003,90,2015-11-03 13:00:00,Tue,0.0,24,2015-11-03 13:58:56,Career opportunities talks,N/A,45/2015
174,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,63,2015-11-03 14:04:19,STAT40150,0,45/2015
175,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,67,2015-11-03 14:09:19,STAT40150,0,45/2015
176,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,65,2015-11-03 14:13:37,STAT40150,0,45/2015
177,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,67,2015-11-03 14:18:32,STAT40150,0,45/2015
178,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,69,2015-11-03 14:23:32,STAT40150,0,45/2015
179,Belfield,Computer Science,B-004,220,2015-11-03 14:00:00,Tue,0.25,76,2015-11-03 14:28:46,STAT40150,0,45/2015
